hour,temperature,weather_code,is_weekend,road_quality,traffic_volume,accident_risk
6,9.6,1,0,1,955,0
19,22.4,1,0,1,680,0
14,1.8,1,0,1,1130,1
10,-0.7,1,0,1,1167,1
7,19.2,1,0,1,2394,0
20,25.4,1,0,1,868,0
6,36.3,3,0,3,458,0
18,44.2,1,0,1,2625,0
22,33.2,3,0,1,707,0
10,27.3,1,0,1,464,0
10,21.6,2,0,2,702,1
23,4.7,1,0,1,412,0
20,18.5,2,0,1,931,0
3,32.9,1,0,1,100,0
7,29.0,2,0,1,2510,0
23,7.1,1,0,1,131,1
2,26.1,1,0,1,171,0
21,25.3,1,0,3,946,0
20,23.5,3,0,1,1137,0
1,19.7,2,0,2,636,0
23,26.7,1,0,3,100,0
11,27.0,2,0,3,987,0
5,13.6,2,0,3,100,0
1,24.6,3,0,2,100,0
20,18.1,3,0,1,428,0
0,5.1,2,0,1,126,0
11,14.4,1,0,1,761,0
21,4.4,2,0,2,1205,0
11,29.8,1,0,1,831,0
16,23.6,4,0,1,1610,0
9,16.4,1,0,1,2499,0
15,34.2,1,0,2,964,0
14,20.7,1,0,2,947,0
14,5.7,2,0,1,1121,0
18,15.6,3,0,1,2246,0
11,36.3,1,0,1,944,0
22,13.3,2,0,1,1053,0
19,22.8,2,0,1,949,0
2,27.4,2,0,1,401,1
4,25.9,1,0,3,100,1
18,44.5,3,0,1,2123,0
6,8.2,1,0,1,1056,1
20,9.2,2,0,2,808,0
8,8.4,1,0,1,2941,0
6,17.0,1,0,1,728,0
17,31.0,3,0,1,2065,1
3,9.7,1,0,3,108,0
13,31.1,1,0,1,1115,0
17,20.4,2,0,1,2899,0
8,8.9,1,0,3,2655,1
20,2.5,1,0,2,976,0
1,4.7,1,0,1,485,0
19,13.3,1,0,2,881,0
14,18.3,1,0,3,1097,0
6,33.5,1,0,3,1017,1
11,28.0,3,0,3,556,0
7,11.6,1,0,1,2841,1
14,24.1,1,0,1,1248,0
2,36.5,1,0,1,128,0
13,38.7,1,0,1,1205,0
16,16.9,2,0,3,2264,0
3,29.6,2,0,2,392,0
17,33.9,1,0,1,2509,0
7,4.9,1,0,1,2835,0
3,14.9,1,0,1,366,0
1,42.2,2,0,1,100,0
5,17.0,1,0,2,503,0
21,-9.3,1,0,1,911,0
9,18.8,1,0,1,2402,0
3,31.2,2,0,1,305,0
21,20.1,3,0,1,685,0
17,27.2,3,0,3,2358,1
11,29.4,1,0,1,1161,0
1,16.5,1,0,3,100,1
9,14.8,1,0,1,2354,0
3,21.5,2,0,1,100,0
13,21.8,4,0,1,993,0
15,20.5,1,0,2,986,0
14,21.0,1,0,1,804,0
7,12.5,1,0,1,2814,0
13,27.5,1,0,1,1100,0
22,26.0,1,0,1,1037,0
7,6.6,1,0,1,2527,0
20,16.1,1,0,1,728,0
15,20.9,1,0,1,1111,0
12,14.7,2,0,1,916,1
17,26.4,1,0,1,2674,0
14,19.3,1,0,1,1127,0
20,21.7,1,0,3,987,1
23,16.0,3,0,1,213,0
12,0.1,2,0,3,1331,0
8,-0.5,1,0,1,2232,0
14,25.9,1,0,2,885,1
12,22.7,1,0,1,1227,0
0,24.4,2,0,1,597,0
6,21.3,2,0,2,972,1
8,22.1,3,0,2,1860,0
23,29.7,1,0,2,164,0
0,24.4,4,0,2,100,0
11,30.4,4,0,1,1200,0
7,21.7,3,0,1,1970,1
23,17.0,1,0,1,392,0
10,21.9,1,0,2,1095,1
18,11.6,1,0,1,2796,1
16,16.2,1,0,3,2416,0
7,21.8,1,0,1,2430,0
2,21.6,2,0,1,466,0
2,18.9,2,0,1,100,0
0,6.1,3,0,1,538,0
4,26.4,1,0,2,647,1
9,28.3,1,0,1,2549,0
6,36.4,2,0,3,812,1
8,24.4,1,0,2,2670,0
6,20.0,1,0,1,961,1
8,9.9,4,0,2,2028,1
7,34.9,2,0,1,2543,0
11,22.5,1,0,1,868,1
1,21.9,3,0,1,309,0
0,17.5,2,0,1,100,0
15,16.8,2,0,1,560,0
22,26.9,3,0,2,872,0
22,9.8,1,0,1,1208,0
23,36.3,2,0,1,197,0
4,34.1,1,0,1,186,0
2,16.5,1,0,1,429,0
11,11.4,3,0,2,795,0
7,-0.2,1,0,2,2386,1
21,7.5,2,0,1,1061,0
2,27.3,3,0,2,241,0
0,23.2,3,0,1,100,1
2,24.9,3,0,1,218,1
4,1.5,1,0,1,336,0
14,16.0,1,0,1,893,0
13,33.7,1,0,2,1185,0
2,19.0,1,0,1,396,0
0,7.3,1,0,1,244,0
4,18.9,1,0,1,326,0
22,12.3,2,0,1,924,0
13,23.3,4,0,1,755,1
6,20.2,2,0,1,962,0
8,25.4,2,0,3,2145,0
14,7.8,1,0,2,1005,0
14,15.5,1,0,1,1063,0
9,30.9,1,0,2,2992,0
12,6.5,2,0,1,1087,0
18,10.0,1,0,1,2369,0
6,22.0,2,0,1,671,0
16,22.9,1,0,1,2288,0
19,15.1,1,0,2,900,0
3,17.2,1,0,1,203,0
4,25.3,1,0,2,252,0
22,28.5,1,0,1,919,0
6,9.3,2,0,1,953,0
12,23.6,2,0,2,915,0
14,35.1,1,0,1,1003,0
10,18.8,3,0,1,619,0
3,9.2,1,0,1,100,0
12,8.7,4,0,1,752,0
6,18.4,1,0,3,1086,0
18,30.4,2,0,1,2276,0
21,19.6,1,0,1,885,0
1,21.9,1,0,2,270,0
9,10.0,1,0,1,2465,1
12,29.8,1,0,1,1150,0
20,8.5,1,0,1,1187,0
5,15.0,1,0,1,344,0
11,26.3,4,0,1,1041,0
11,-0.4,3,0,1,726,0
